tickers,PT,PX,DY,BT,MC
1436513D UN Equity,30.333,27.24,1.909,1.1605,18280.228
1448062D UW Equity,36,33.35,NA,1.0445,31911.2039
1752754D UN Equity,34.667,33.3963,2.2757,0.992,6494.792
9876544D UN Equity,20.464,18.77,1.2786,1.2351,5574.69
AMZN UW Equity,139.895,134.52,NA,1.0649,58244.8447
AN UN Equity,20.778,19.15,NA,1.1932,3341.1867
ANF UN Equity,39.818,34.85,2.0086,1.1169,3066.1935
APOL UW Equity,78.182,60.58,NA,0.776,9379.8433
ATGE UN Equity,64.6,56.73,0.3525,0.7114,4029.5262
AZO UN Equity,168.222,158.07,NA,0.8031,7823.8801
BBBY UW Equity,42.389,38.63,NA,0.9847,10147.5486
BBY UN Equity,46.048,38.4448,1.4566,1.069,16436.629
BDK UN Equity,58.4,64.83,0.7404,1.034,3904.7757
BIG UN Equity,33.692,28.98,NA,1.073,2395.5535
BKNG UW Equity,232.727,218.5,NA,0.9793,9603.2719
CCL UN Equity,38.964,31.2706,NA,1.166,25543.7959
CMCSA UW Equity,9.6,8.43,2.242,1.1223,47460.2514
DHI UN Equity,12.833,10.87,1.3799000000000001,1.399,3453.073
DIS UN Equity,33.306,32.25,1.0853,1.0649,60146.6004
DRI UN Equity,35.346,31.4026,3.1845,1.0659,4896.3507
EKDKQ UN Equity,NA,4.22,13.7363,1.2071,1131.7588
EXPE UW Equity,27.802,23.972,NA,1.1974,7429.6072
F UN Equity,10.556000000000001,9.644,NA,1.1996,33071.0088
FDO UN Equity,32.533,27.83,1.9404,0.7373,3850.9427
GHC UN Equity,347.418,265.608,3.2379,0.8949,4132.2401
GME UN Equity,30.533,21.94,NA,1.0907,3614.9946
GPC UN Equity,42.286,37.96,4.215,0.7947,6056.6015
GPS UN Equity,25.684,20.95,1.6229,1.0066,14455.3517
GT UN Equity,15,14.1,NA,1.5007000000000001,3414.3715
HAR UN Equity,27.5,35.28,0.2592,1.1502,2447.0526
HAS UN Equity,34.1,32.06,2.4953,0.8374,4437.4952
HD UN Equity,30.553,28.93,3.111,0.9956,49192.9153
HOG UN Equity,29.4,25.2,1.5873,1.3354,5907.9634
HOT UN Equity,30.709,32.7743,0.6102,1.4353,6838.9522
HRB UN Equity,23,22.62,2.6525,0.9332,7589.9419
IPG UN Equity,7.877,7.38,NA,1.2891,3587.5516
JCP UN Equity,36.917,26.61,3.0064,1.1241,6279.5873
JWN UN Equity,38.294,35.0924,1.8237999999999999,1.2057,8173.4017
KSS UN Equity,66.375,53.93,NA,1.014,16535.0354
LB UN Equity,20.731,13.5811,4.4179,1.173,6200.8692
LEG UN Equity,23.667,20.4,5.098,1.0196,3103.0032
LEN UN Equity,18.895,12.747,1.2306,1.6192,2249.4046
LOW UN Equity,25.184,23.39,1.5391,1.0355,34430.8285
M UN Equity,21.75,16.76,1.1933,1.3702,7056.1646
MAR UN Equity,25.133,25.6855,1.3479,1.1645,9734.7407
MAT UW Equity,23.182,19.98,3.7538,0.9562,7222.3761
MCD UN Equity,68.176,62.44,3.5234,0.7144,67384.4141
MDP UN Equity,33.4,30.85,2.9173,1.0078,1397.2891
NKE UN Equity,18.05,16.5175,1.6346,0.9409,31825.9027
NWL UN Equity,17.75,15.01,1.3324,1.1012,4168.2772
NYT UN Equity,10.5,12.36,6.469,1.0542,1786.5143
ODP UN Equity,6.864,6.45,NA,1.6838,1771.9395
OMC UN Equity,41.5,39.15,1.5326,0.9404,12185.1245
ORLY UW Equity,46.235,38.12,NA,0.8605,5229.7323
PHM UN Equity,11.5,10,NA,1.3461,3803.671
RL UN Equity,85.154,80.98,0.4939,1.1280000000000001,8021.2311
ROST UW Equity,12.639,10.6775,1.0302,0.8805,5290.6201
RSHCQ UN Equity,20.7,19.5,1.2821,0.9625,2441.2907
SBUX UW Equity,11.458,11.53,NA,1.0624,17071.0869
SHLDQ UW Equity,33.71,53.583125,NA,1.0199,9644.2834
SHW UN Equity,62.182,61.65,2.3033,0.8569,6987.454
SNI UN Equity,41.143,41.5,0.7229,0.9752,6873.5711
SPGI UN Equity,36.833,31.985,2.8138,1.2279,10552.2988
SPLS UW Equity,26.545,24.59,1.342,1.1073,17800.6176
TFCFA UW Equity,12.73,12.088,0.9927,1.5070000000000001,37648.7221
TGNA UN Equity,9.092,7.6068,2.1034,1.3075,3508.1149
TGT UN Equity,57.4,48.37,1.4058,1.0445,36389.3704
TIF UN Equity,48.75,43,1.5814,1.1729,5351.3886
TJX UN Equity,11,9.1375,1.3133,0.8857,15340.3489
TPR UN Equity,38.412,36.53,0.8212,1.197,11650.4513
TWC UN Equity,49.118,41.39,NA,0.9015,14587.2391
TWX UN Equity,32.738,27.9368,2.6846,1.0732,34023.223
VFC UN Equity,19.531,17.2342,3.4814,0.9154,8128.8711
VIAB UN Equity,33.921,29.73,NA,1.0942,18199.8942
VIAC UN Equity,14.889,14.05,1.4235,1.3893,9597.4733
WHR UN Equity,79.5,80.66,2.1324,1.1136,5991.2635
WYND UN Equity,10.531,9.1029,1.7577,1.5575999999999999,3602.6745
WYNN UW Equity,63.489,47.3695,2.1111,1.3815,7169.5803
YUM UN Equity,27.478,25.1453,3.3406000000000002,0.9148,16355.5495
