tickers,PT,PX,DY,BT,MC
ADM UN Equity,35.455,31.31,1.7886,1.0219,20112.0542
AVP UN Equity,39.429,31.4127,2.6741,0.9483,13452.264
BF/B UN Equity,13.92,13.0107,2.4595000000000002,0.7246,8024.9272
CAG UN Equity,19.383,17.9363,4.4602,0.6007,10209.511
CCEP UN Equity,23.889,10.4454,3.0636,0.8706,10365.312
CL UN Equity,44.857,41.075,2.1424,0.6996,40844.249
CLX UN Equity,66.364,61,3.2787,0.6419,8528.2944
COST UW Equity,62.938,51.411,1.4005,0.8018,25995.3395
CPB UN Equity,37.75,33.8,3.2544,0.6056,11590.8821
CVS UN Equity,35.714,32.21,0.9469,0.7827,45433.589
DFODQ UN Equity,19.738,16.7786,NA,0.7984,3256.1118
EL UN Equity,25.933,24.18,1.1373,0.8801,9514.2109
GIS UN Equity,37.667,35.405,2.768,0.5931,23334.5357
HNZ UN Equity,45.042,42.76,3.9289,0.7067,13496.9328
HRL UN Equity,10.297,9.6125,2.1847,0.5532,5138.0232
HSH UN Equity,27.374,18.1423,12.1264,0.8681,8493.1874
HSY UN Equity,38.5,35.79,3.325,0.7016,7922.3833
K UN Equity,58.125,53.2,2.8195,0.671,20185.3623
KDP UN Equity,32,4.5565,13.1681,0.7659,7190.0733
KMB UN Equity,66.869,61.0617,3.9305,0.6846,26463.8271
KO UN Equity,30.833,28.5,2.8772,0.6976,132079.3396
KR UN Equity,12.15,10.265,1.8509,0.6958,13342.2646
LO UN Equity,29.111,26.7433,4.9857,0.661,12888.1153
MDLZ UN Equity,21.404,17.7833,6.523,0.7078,40157.4712
MJN UN Equity,50.071,43.7,1.8307,0.518,8936.65
MKC UN Equity,39.667,36.13,2.8785,0.6293,4731.8091
MO UN Equity,22.071,19.63,6.9282,0.6751,40677.5103
PBG UN Equity,36.33,37.5,1.92,0.752,8176.3427
PEP UN Equity,70.6,60.8,2.9605,0.6796,94875.0305
PG UN Equity,67.267,60.63,2.9029,0.7315,177144.7552
PM UN Equity,54.786,48.19,4.8143,0.7493,91786.7553
RAI UN Equity,13.406,13.2425,6.7963000000000005,0.6348,15434.1968
SJM UN Equity,66.125,61.75,2.2672,0.6499,7349.9112
STZ UN Equity,17.333,15.93,NA,0.824,3531.6714
SVU UN Equity,102,88.97,2.7537000000000003,0.8775,2694.5848
SWY UN Equity,20.812,19.0575,2.0989,0.7721,8652.2559
SYY UN Equity,29.125,27.94,3.5791,0.7815,16535.9865
TAP UN Equity,53.5,45.16,2.1258,0.6866,8343.2058
TSN UN Equity,14.571,12.2056,1.3109,1.025,4621.7204
WBA UN Equity,43.346,36.72,1.4978,0.8226,36271.5158
WFM UW Equity,14.292,13.4294,NA,1.0225,3860.609
WMT UN Equity,60.25,53.45,2.0393,0.6782,203653.6867
