tickers,PT,PX,DY,BT,MC
1086832D UN Equity,24.59,21.7148,2.7631,1.1666,3051.3302
1524867D UN Equity,18.167,18.6,1.0753,1.2701,5458.957
1539941D UN Equity,21.75,20.51,4.8757,1.025,13264.9527
ANDV UN Equity,13.875,13.55,1.476,1.3902,1899.7751
APA UN Equity,117.733,103.17,0.5816,1.1813,34683.1011
APC UN Equity,76.611,62.42,0.5767,1.2549000000000001,30680.1424
BHI UN Equity,51.611,40.48,1.4822,1.225,12544.2131
BTUUQ UN Equity,NA,678.15,0.6193,1.4785,12108.8517
CAM UN Equity,47.389,41.8,NA,1.2763,10216.4887
CHK UN Equity,6463.493,4895.8594,1.2255,1.361,16762.6753
CNX UN Equity,44.806,41.5372,0.963,1.5265,9005.4587
COG UN Equity,12.906,10.8975,0.2753,1.2952,4518.2822
COP UN Equity,44.596,38.9317,5.1372,1.1051,75772.2697
CVX UN Equity,89.818,76.99,3.5329,1.0444,154462.5596
DNR UN Equity,18.667,14.8,NA,1.4802,3697.3804
DOFSQ UN Equity,104.87,76.0038,0.6579,1.1354,13681.4523
DVN UN Equity,83.333,73.5,0.8707,1.1607,32641.3504
EOG UN Equity,52.95,48.65,0.5961,1.1653,24554.1797
EP UN Equity,13.222,9.83,0.4069,1.3599,6893.4927
FTI UN Equity,30.385,28.92,NA,1.2517,7066.5325
HAL UN Equity,38.211,30.09,1.1964,1.2288999999999999,27139.0221
HES UN Equity,68.222,60.5,0.6612,1.2917,19787.8204
MEE UN Equity,40.857,42.01,0.5713,1.6872,3593.7454
MRO UN Equity,22.036,18.9525,5.0653,1.2823,22098.9276
MUR UN Equity,51.012,44.7193,2.2362,1.1817,10348.5412
NBL UN Equity,38.923,35.61,1.011,1.2949,12355.0529
NBR UN Equity,1277.381,1094.5,NA,1.305,6201.227
NOV UN Equity,47.224,39.7346,1.0067,1.491,18444.4651
OXY UN Equity,85.963,78.0346,1.6916,1.2591999999999999,66029.1247
PXD UN Equity,48.167,48.17,0.1661,1.3578999999999999,5555.0125
RDC UN Equity,28.333,22.64,2.9762,1.4095,2575.3204
RRC UN Equity,63.091,49.85,0.321,1.2107,7863.035
SII UN Equity,33.467,27.17,1.7667000000000002,1.3824,6722.1621
SLB UN Equity,76.947,65.09,1.2905,1.1949,78157.7471
SWN UN Equity,58.524,48.2,NA,1.3974,16643.2329
VLO UN Equity,17.539,15.3007,3.9214,1.2748,9452.8539
WMB UN Equity,20.881,17.2134,2.5561,1.3019,12292.3844
XOM UN Equity,78.545,68.19,2.4637000000000002,0.9672,323717.2749
XTO UN Equity,52.964,46.53,1.0746,1.1369,27003.1277
