tickers,PT,PX,DY,BT,MC
8394653Q UN Equity,12.675,13.69,4.3828,2.1095,6478.1642
9876566D UN Equity,58.867,49.18,2.8467000000000002,1.0452,16798.5165
AFL UN Equity,25.156,23.125,2.4215999999999998,1.4217,21640.338
AIG UN Equity,16.475,25.1146,NA,1.7968,20910.3162
AIV UN Equity,13.427,15.8677,2.5995,1.7019,1862.6639
AIZ UN Equity,37,29.48,2.0353,1.2730000000000001,3443.258
ALL UN Equity,36.25,30.04,2.6631,1.2943,16115.8164
AMP UN Equity,45.429,38.82,1.7517,1.5556,9899.2398
AON UN Equity,NA,38.34,1.5649,0.71,10502.1928
AVB UN Equity,68,82.11,4.3478,1.4322,6686.4967
AXP UN Equity,41.588,40.52,1.7769,1.4694,48185.1405
BAC UN Equity,21.333,15.06,0.2656,1.8401,149647.6021
BEN UN Equity,41.214,30.6239,0.9579,1.3805,24151.4875
BK UN Equity,33.563,27.97,1.2871000000000001,1.526,33682.7052
BXP UN Equity,66.864,62.802,3.1846,1.4905,9303.8901
C UN Equity,48.906,33.1,1.626,1.8260999999999998,93543.1601
CBRE UN Equity,12.5,13.57,NA,1.9889000000000001,3973.5335
CINF UW Equity,27.667,25.8686,6.1078,1.208,4269.282
CMA UN Equity,31.118,29.57,0.6764,1.4123000000000001,4468.7604
CME UW Equity,67.863,55.354,1.662,1.2892000000000001,22347.9572
COF UN Equity,44.167,38.34,0.5216,1.7005,17250.1088
DFS UN Equity,16.7,14.71,0.5438,1.5122,7984.806
EQR UN Equity,30.683,28.7713,4.6922,1.4933,9328.1509
ETFC UW Equity,18.42,17.5,NA,1.6237,3264.6229
FHI UN Equity,28.556,23.4384,4.0958,1.1743000000000001,2817.1879
FHN UN Equity,13.399000000000001,12.598700000000001,NA,1.5109,2973.8245
FITB UW Equity,11.235,9.75,0.4103,1.8533,7754.3332
GL UN Equity,21.844,19.5333,1.3652,1.2459,3638.3831
GNW UN Equity,13.75,11.35,NA,2.5334,5545.0721
GS UN Equity,217.556,168.84,0.8292,1.3439999999999999,91455.2797
HBAN UW Equity,4.411,3.65,1.0959,1.7486000000000002,2609.9313
HCBK UW Equity,14.563,13.73,4.37,1.0414,7212.5473
HIG UN Equity,27.727,23.26,0.8598,1.7837,8908.7752
HST UN Equity,11.22,11.5151,4.826,1.8256000000000001,7367.2125
ICE UN Equity,23.48,22.46,NA,1.4866,8226.7615
IVZ UN Equity,28.222,23.49,1.7454,1.6251,10071.9999
JEF UN Equity,NA,21.6615,NA,1.3843,5784.0675
JNS UN Equity,15.35,13.45,0.2974,1.7130999999999998,2448.1623
JPM UN Equity,54,41.67,0.48,1.5175999999999998,171052.6032
KEY UN Equity,7.108,5.55,0.7207,1.7234,4876.2017
KIM UN Equity,12.654,13.53,4.7302,1.6339000000000001,5435.6924
L UN Equity,39.5,36.35,0.6878,1.2999,15617.1128
LM UN Equity,30.917,30.16,0.3979,1.534,4899.924
LNC UN Equity,30.625,24.88,0.1608,1.9664000000000001,7515.7554
MCO UN Equity,28,26.8,1.5672000000000001,1.2398,6338.2
MET UN Equity,38.967,31.5016,2.3491,1.638,28944.2473
MI UN Equity,6.929,5.45,0.7339,1.7314,2859.5868
MMC UN Equity,25.375,22.08,3.6231999999999998,0.881,11647.4897
MS UN Equity,37.368,29.6,0.6757,1.9535,40239.2271
MTB UN Equity,65.5,66.89,4.186,1.1676,7899.1338
NDAQ UW Equity,24.933,19.82,NA,1.3469,4183.4511
NTRS UW Equity,59.25,52.4,2.1374,1.3467,12654.883
NYX UN Equity,29.929,25.3,4.7431,1.5047000000000001,6578
PBCT UW Equity,18.625,16.7,3.6527,0.9597,5815.8453
PCL UN Equity,37.857,37.76,4.4492,1.2871000000000001,6147.8415
PEAK UN Equity,27.675,27.8025,6.6181,1.4655,8952.4532
PFG UN Equity,28.576999999999998,24.04,2.0799,1.9593,7667.4086
PGR UN Equity,18.429,15.2233,1.0596,1.1052,12129.3688
PNC UN Equity,54.889,52.79,0.7577,1.3881999999999999,24351.5157
PRU UN Equity,59.417,49.76,1.4068,1.8638,23088.64
PSA UN Equity,77.462,81.45,2.701,1.3699,13808.9678
RF UN Equity,6.475,5.29,0.7561,1.6914,6284.6892
SCHW UW Equity,20.147,18.82,1.2752,1.3229,21871.3097
SLM UN Equity,4.823,4.0266,NA,1.6909,5348.6382
SPG UN Equity,76.087,74.906,0.6368,1.5702,22752.5053
STI UN Equity,23.031,20.29,0.1971,1.5445,10127.7639
STT UN Equity,56,43.54,0.0919,1.6284,21537.7224
TFC UN Equity,28.237,25.3397,2.3678,1.3626,17444.8434
TROW UW Equity,56.231,51.1537,1.9548999999999999,1.4667,13711.9823
TRV UN Equity,57.571,49.86,2.6474,1.1186,27242.1723
UNM UN Equity,23.636,19.52,1.6905999999999999,1.502,6476.0394
USB UN Equity,27.05,22.51,0.8885,1.2824,43048.6604
VNO UN Equity,46.985,49.0681,3.0877,1.5565,12605.1674
VTR UN Equity,37.439,38.306,5.3516,1.4113,6849.9379
WELL UN Equity,45.857,44.32,6.1372,1.0992,5451.8875
WFC UN Equity,31.857,26.8508,0.7449,1.5981999999999998,137995.2838
XL UN Equity,21.833,18.33,2.1822,2.0331,6271.2229
ZION UW Equity,16.306,12.83,0.3118,1.5671,1773.233
