tickers,PT,PX,DY,BT,MC
0202445Q UN Equity,76.571,72.35,NA,0.7454,4023.5282
1255459D UW Equity,56.65,52.23,NA,0.8254,9314.5785
1284849D UN Equity,66.731,63.01,0.3174,0.887,19376.3249
ABC UN Equity,29.143,26.07,1.2275,0.6983,7510.371
ABT UN Equity,28.36,25.8328,6.1937,0.6322,83508.4064
AET UN Equity,34.556,31.7,0.1262,0.9896,13741.95
AGN UN Equity,41,39.61,NA,0.73740000000000006,4799.6981
AMGN UW Equity,68.833,56.57,NA,0.7474,57256.6709
ANTM UN Equity,62.455,58.29,NA,0.8591,26716.9657
BAX UN Equity,34.917,31.8784,3.6388,0.6543,35375.9314
BCR UN Equity,80,77.9,0.8729,0.5929,7520.1701
BDX UN Equity,80,78.86,1.8767,0.618,18699.1962
BIIB UW Equity,44.355,49.279,NA,0.8174,15472.119
BMY UN Equity,23.908,25.25,5.0693,0.7571,43220.2851
BSX UN Equity,10.453,9,NA,1.0114,13593.8694
CAH UN Equity,33.65,32.24,2.1712,0.7946,11693.3352
CELG UW Equity,32.5,27.84,NA,0.8853,25590.6609
CEPH UW Equity,68.429,62.41,NA,0.6183,4659.4494
CFN UN Equity,25.714,25.01,NA,1.2048,5536.8189
CI UN Equity,37,35.27,0.1134,1.1694,9644.1234
CVH UN Equity,22.556,24.29,NA,1.0256,3594.5145
DGX UN Equity,65.375,60.38,0.6625,0.7123,11164.304
DVA UN Equity,32.917,29.37,NA,0.699,6003.2278
ESRX UW Equity,48.447,43.225,NA,0.9229,23749.5441
FRX UN Equity,32.05,32.11,NA,0.7994,9689.7001
GENZ UW Equity,54.529,49.01,NA,0.7784,13006.4161
GILD UW Equity,27.933,21.64,NA,0.7568,38948.7535
HSP UN Equity,55.2,51,NA,0.732,8270.1501
HUM UN Equity,45.111,43.89,NA,0.8732,7453.9486
ISRG UW Equity,87.4,101.107,NA,1.1023,11584.3666
JNJ UN Equity,66.769,64.41,3.043,0.6798,177713.6058
KG UN Equity,12.556000000000001,12.27,NA,0.7575,3045.9343
LH UN Equity,81.4,74.84,NA,0.6492,7948.0078
LLY UN Equity,37.35,35.71,5.4887,0.8448,41031.5921
MCK UN Equity,69.464,62.5,0.768,0.8067,16748.9185
MDT UN Equity,47.579,43.98,1.8645,0.7347,48582.5618
MHS UN Equity,69.647,63.91,NA,0.7865,30470.0131
MRK UN Equity,40.123,36.54,4.1598,0.8555,111610.5825
MYL UW Equity,20.364,18.43,NA,0.7958,5631.9168
PDCO UW Equity,31.75,27.98,NA,0.8585,3426.6854
PFE UN Equity,20.123,18.19,3.9582,0.8338,146784.8623
PKI UN Equity,21,20.59,1.3599,0.8949,2404.1728
RX UN Equity,15,21.06,0.5698,0.9425,3842.2115
STJ UN Equity,39.952,36.78,NA,0.7732,12293.9058
SYK UN Equity,53.382,50.37,1.1912,0.7857,20034.0926
THC UN Equity,27.549,21.56,NA,1.024,2593.2879
TMO UN Equity,53,47.69,NA,0.8769,19472.5235
UNH UN Equity,33.3,30.48,0.0984,1.0254,35418.266
VAR UN Equity,45.458,41.4876,NA,0.8299,5830.5667
WAT UN Equity,65,61.96,NA,0.8022,5867.2403
XRAY UW Equity,37.75,35.17,0.5687,0.81,5347.092
ZBH UN Equity,61.953,59.11,NA,0.802,12589.1889
