tickers,PT,PX,DY,BT,MC
1684442D UN Equity,37.6,36.2,1.6021999999999998,0.9865,4248.5044
AVY UN Equity,39.143,36.49,2.1924,1.0365,4114.054
BA UN Equity,53,54.13,3.1036,0.9555,39330.8104
BNI UN Equity,98.833,98.3641,1.6266,0.8906,33573.6995
CAT UN Equity,61.813,56.99,2.9478999999999997,1.1063,35489.239
CHRW UW Equity,65.308,58.73,1.7027,0.96,9851.4521
CMI UN Equity,50.923,45.86,1.5264,1.414,9254.2178
COL UN Equity,57.091,55.36,1.7341,0.9538,8704.4967
CSX UN Equity,19.042,16.1633,1.8148,1.0983,19035.181
CTAS UW Equity,27.6,25.736,1.8262,0.9052,3982.1461
DE UN Equity,57.6,54.09,2.0705999999999998,1.1674,22860.4779
DHR UN Equity,31.251,28.4977,0.2807,0.8691,24156.864
DNB UN Equity,84.333,84.37,1.6118999999999999,0.7363,4385.0885
DOV UN Equity,31.47,27.8613,3.7328,1.044,7746.8124
EFX UN Equity,35.25,30.89,0.518,0.96,3906.7015
EMR UN Equity,44.563,42.6,3.1455,1.0761,32041.4922
ETN UN Equity,33.267,31.81,3.1437,1.0086,10548.1962
EXPD UW Equity,38.875,34.73,1.0942,1.0546,7364.4897
FAST UW Equity,9.45,10.2043,1.813,1.0366,6176.4905
FDX UN Equity,98.833,83.45,0.5273,1.0084,26112.7829
FLR UN Equity,59.647,45.04,1.1101,1.3188,8061.6782
FLS UN Equity,39.519,31.51,1.1425,1.347,5279.4153
FSLR UW Equity,145.552,135.4,NA,1.2479,11523.5821
GD UN Equity,71.867,68.17,2.2297,0.8172,26300.0746
GE UN Equity,17.128,14.5437,2.7503,1.1212,161096.6011
GR UN Equity,66.667,64.25,1.6808999999999998,1.0459,7989.9565
GWW UN Equity,112,96.83,1.9002,0.8671,7195.9601
HON UN Equity,43.279,37.3185,3.2424,1.0041,29911.337
IRM UN Equity,29.976,18.2206,NA,0.9137,4628.3531
ITT UN Equity,19.397,16.4927,10.3076,0.9858,9087.4978
ITW UN Equity,57.154,47.99,2.5839,0.9743,24038.6711
J UN Equity,40.767,37.61,NA,1.4341,4678.6163
LLL UN Equity,81.139,83.3929,1.6787999999999998,0.7856,10105.8074
LMT UN Equity,81.643,75.35,3.3444,0.7763,28691.9776
LUV UN Equity,11.406,11.43,0.1575,0.9338,8480.3728
MAS UN Equity,11.3,12.1375,2.4717000000000002,1.2131,4959.1711
MMM UN Equity,91.385,82.67,2.4676,0.8583,58526.9137
MWW UN Equity,17.833,17.4,NA,1.3719000000000001,2187.2183
NOC UN Equity,50.348,50.666,3.3948,0.7867,17523.0329
NSC UN Equity,56.688,52.42,2.5944000000000003,1.0323,19284.9977
PBI UN Equity,26.25,22.76,6.3269,0.88,4714.4814
PCAR UW Equity,36.75,29.9591,1.2016,1.2711000000000001,13184.4571
PCP UN Equity,113.727,110.35,0.1087,1.0868,15529.0482
PH UN Equity,59.7,53.88,1.8559999999999999,1.0671,8658.0579
PWR UN Equity,27,20.84,NA,1.3468,4372.9302
R UN Equity,51.4,41.17,2.429,1.1106,2307.599
RHI UN Equity,27.5,26.73,1.7957,1.0737,4035.4041
ROK UN Equity,41.5,46.98,2.4691,1.1833,6683.0649
ROP UN Equity,58.333,52.37,0.7256,1.0992,4768.5504
RRD UW Equity,44.328,36.1168,8.6386,1.4062999999999999,4572.0311
RSG UN Equity,32.2,28.31,2.6846,0.8557,10761.8796
RTN UN Equity,56.267,51.52,2.4068,0.73,19743.3404
RTX UN Equity,45.597,40.939,3.7617000000000003,0.9537,65074.6117
SNA UN Equity,47.5,42.26,2.8396,1.0304,2439.674
SRCL UW Equity,61.167,55.17,NA,0.7396,4646.7706
SWK UN Equity,55,51.51,2.5625999999999998,1.0713,4142.4703
TXT UN Equity,22.7,18.81,0.4253,1.4462,5099.7166
UNP UN Equity,36.147,31.95,1.6901000000000002,0.9885,32240.6935
UPS UN Equity,63.818,57.37,3.1375,0.882,56957.1822
WM UN Equity,34.8,33.81,3.7267,0.8075,16555.1344
