tickers,PT,PX,DY,BT,MC
0203524D UN Equity,16.464,15.36,2.0833,0.9859,3634.3542
1280712D UW Equity,25.615,23.34,NA,0.9981,2263.9754
1431816D UN Equity,6.958,6.01,NA,1.2264,3925.4768
1518855D US Equity,20,16.78,NA,0.9329,23509.7243
1519128D UW Equity,8.643,6.943,NA,0.9953,1666.3089
1541931D UW Equity,24.25,22.63,0.8838,0.9489,6684.2596
1683997D UW Equity,17.083,14.2253,NA,0.9358,28097.5855
8277831Q UN Equity,59,59.69,NA,0.7911,5830.9967
A UN Equity,23.496,22.2177,NA,1.0255,10838.1885
AAPL UW Equity,34.68,30.123,NA,0.9692,189732.9837
ADBE UW Equity,40.105,36.78,NA,1.0993,19263.8954
ADI UN Equity,33,31.58,2.5332,0.8969,9216.9952
ADP UW Equity,39.517,37.5646,3.6204,0.8698,21608.2869
ADSK UW Equity,25.929,25.41,NA,1.0735999999999999,5837.1724
AKAM UW Equity,26.1,25.33,NA,1.1397,4338.5073
AMAT UW Equity,14.733,13.94,1.7217,1.0186,18697.1509
AMD UN Equity,8.25,9.68,NA,1.1794,6488.5003
APH UN Equity,23.432,23.09,0.1299,1.0968,7919.7361
BMC UW Equity,40.136,40.1,NA,0.8395,7354.0191
BRCM UW Equity,33.5,29.9607,NA,1.0207,15143.055
CA UW Equity,25.5,22.46,0.7124,0.9467,11717.8607
CRM UN Equity,16.978,18.4425,NA,1.1419,9213.8731
CSC UN Equity,31.26,24.2377,NA,0.9344,8768.6593
CSCO UW Equity,27.554,23.94,NA,1.0358,137716.8957
CTSH UW Equity,24.426,22.65,NA,1.1705,13350.5174
CTXS UW Equity,31.13,33.1336,NA,1.0138,7613.7894
EA UW Equity,23.233,17.75,NA,1.0173,5777.1814
EBAY UW Equity,11.427,9.9075,NA,1.0518,30436.3177
EMC UN Equity,20.14,17.47,NA,0.9281,35635.6865
FIS UN Equity,27.818,23.44,0.8532,0.9791,8730.8957
FISV UW Equity,12.825,12.12,NA,0.9261,7460.9748
FLIR UW Equity,32.778,32.72,NA,1,4966.3169
GLW UN Equity,21.367,19.31,1.0357,1.0413000000000001,30048.1656
GOOGL UW Equity,328.955,310.29,NA,0.9385,196701.3079
HPQ UN Equity,26.736,23.3858,1.3683,0.9054,121778.3424
IBM UN Equity,136,130.9,1.6806999999999999,0.8165,171950.6203
INTC UW Equity,24.613,20.4,3.0882,1.0337,112648.8
INTU UW Equity,34.455,30.71,NA,0.8685,9727.7271
JAVA UW Equity,9.5,9.37,NA,1.0935,7064.4195
JBL UN Equity,18.25,17.37,1.612,1.2763,3720.4265
JNPR UN Equity,29,26.67,NA,1.0921,14013.4588
KLAC UW Equity,36.545,29.0723,2.0638,1.0287,6179.4547
LDOS UN Equity,63.74,35.8171,NA,0.6241,7498.5962
LHX UN Equity,49.05,47.55,1.8507,0.9235,6263.1482
LLTC UW Equity,29.684,30.54,2.8815,0.8581,6813.9351
LXK UN Equity,23.813,25.98,NA,0.7947,2029.1004
MA UN Equity,26.904,25.598,0.2344,1.0398,33214.2669
MCHP UW Equity,29.615,29.06,4.68,0.9486,5335.175
MFE UN Equity,47.826,40.57,NA,0.8741,6399.0168
MOLX UW Equity,22.778,21.55,3.3498,1.1118,3554.9478
MSFT UW Equity,33.12,30.49,1.7055,0.9623,270724.4021
MSI UN Equity,39.96,31.7811,7.5295,1.1885,17932.9224
MU UW Equity,12.679,10.56,NA,NA,8974.1392
NLOK UW Equity,19.65,8.3213,NA,0.9536,14500.9271
NOVL UW Equity,4.95,4.15,NA,1.0349,1440.5604
NTAP UW Equity,33.886,34.39,NA,1.049,11654.9775
NVDA UW Equity,16.931,18.68,NA,1.2161,10365.5325
ORCL UW Equity,27.273,24.54,0.815,0.9531,122975.3441
PAYX UW Equity,30.917,30.64,4.047,0.8559,11073.5043
QCOM UW Equity,50.545,46.26,1.47,0.9606,77268.6845
QLGC UW Equity,20.333,18.87,NA,0.86240000000000006,2162.585
RHT UN Equity,31.267,30.9,NA,1.0056,5802.2846
SNDK UW Equity,25,28.99,NA,1.1456,6615.912
SUNEQ UN Equity,17.262,13.62,NA,1.3982999999999999,3044.9075
TDC UN Equity,31.667,31.43,NA,0.8755,5380.8159
TER UN Equity,11.556000000000001,10.73,NA,1.1963,1876.4163
TLAB UW Equity,6.569,4.0525,NA,0.9834,2193.5206
TSS UN Equity,16.75,17.27,1.6213,0.9495,3405.3762
TXN UN Equity,27.88,26.06,1.8418999999999999,0.8818,32649.8811
V UN Equity,23.109,21.865,0.5717,0.9553,64950.2267
VIAV UW Equity,4.893,4.6904,NA,1.2469999999999999,1836.5844
VRSN UW Equity,26.058,20.5834,NA,1.1158,4662.4502
WDC UN Equity,44.462,44.15,NA,1.1401,9950.699
WU UN Equity,22.367,18.85,1.2732,1.0464,13046.249100000001
XLNX UW Equity,27.933,25.06,2.5539,0.9292,6938.1043
XRX UN Equity,27.828,22.2887,3.0509,1.0937999999999999,7353.8101
