tickers,PT,PX,DY,BT,MC
0111145D UN Equity,36.5,41.832300000000004,4.4463,0.8231,1904.2251
0961514D UN Equity,41.364,41.01,6.0473,0.7255,11467.4663
1500785D UN Equity,15.659,16.22,4.9322,0.8811,3467.3071
AEE UN Equity,22.333,27.95,5.5098,0.8567,6621.9421
AEP UN Equity,36.417,34.79,4.714,0.7891,16617.7395
AES UN Equity,18,13.31,NA,1.2034,8885.5274
AYE UN Equity,27.386,23.48,2.5554,0.9258,3981.3347
CEG UN Equity,38.3,35.17,2.7296,0.7476,7065.6286
CMS UN Equity,16.278,15.66,3.1928,0.8254,3595.6441
CNP UN Equity,15,14.51,5.2378,0.8342,5664.289
D UN Equity,37.846,38.92,4.702,0.7545,23244.6113
DTE UN Equity,40,43.59,4.8635,0.7973,7189.2159
DUK UN Equity,50.563,51.63,5.5782,0.7194,22452.2706
ED UN Equity,44,45.43,5.1948,0.6582,12747.7983
EIX UN Equity,38.083,34.78,3.6228,0.863,11331.7131
EQT UN Equity,29.939,23.9075,3.6809,1.1529,5749.9755
ES UN Equity,26.2,25.79,3.6836,0.7297,4525.2037
ETR UN Equity,89.308,81.84,3.6657,0.7801,15462.2192
EXC UN Equity,54.25,48.87,4.2971,0.9298,32223.7726
FE UN Equity,48.273,46.45,4.7363,0.8599,14159.6038
NEE UN Equity,56.429,52.82,3.5782,0.8459,21833.0039
NI UN Equity,5.575,6.0437,15.2224,0.853,4241.1059
PCG UN Equity,48.583,44.65,3.7626,0.7153,16563.373200000002
PEG UN Equity,34.889,33.25,4,0.887,16823.8486
PNW UN Equity,37,36.58,5.7408,0.7459,3704.8737
POM UN Equity,15.5,16.85,6.4094999999999995,0.8556,3733.8387
PPL UN Equity,31.02,29.9817,4.6028,0.8295,12183.0836
SCG UN Equity,37.667,37.68,4.9894,0.7366,4639.6363
SO UN Equity,33.979,33.32,5.2521,0.6461,26663.0447
SRE UN Equity,61.5,55.98,2.7866999999999997,0.8635,13795.8736
STR UN Equity,17.264,13.3592,3.8925,1.2764,7248.4364
TEG UN Equity,37.5,41.99,6.4777000000000005,0.8174,3208.8799
WEC UN Equity,25.833,24.915,2.7092,0.6407,5825.6753
XEL UN Equity,21.5,21.22,4.6183,0.6977,9690.0196
