TICKER,GICS_SECTOR_NAME,GROWTH_RANK,TARGET_WEIGHT_ADJ,MAX_WEIGHT
t,Communication Services,1,46.548736993119164,93.09747398623833
dis,Communication Services,2,46.548736993119164,93.09747398623833
atvi,Communication Services,3,6.902526013761687,93.09747398623833
hd,Consumer Discretionary,2,48.20545550781073,96.41091101562147
sbux,Consumer Discretionary,3,48.20545550781073,96.41091101562147
baba,Consumer Discretionary,1,3.5890889843785416,96.41091101562147
stz,Consumer Staples,1,65.54285145748294,100
pep,Consumer Staples,4.5,34.45714854251706,100
bp,Energy,1,100,100
pacw,Financials,1,48.133479915824175,96.26695983164835
c,Financials,2,48.133479915824175,96.26695983164835
wfc,Financials,3,3.733040168351657,96.26695983164835
hrtx,Health Care,1,31.540408309509814,63.08081661901963
bmy,Health Care,2,31.540408309509814,63.08081661901963
pfe,Health Care,6,31.540408309509814,63.08081661901963
mrk,Health Care,3,5.378775071470557,63.08081661901963
rtx,Industrials,2,64.04494828178291,100
etn,Industrials,3,35.95505171821709,100
ibm,Information Technology,4,19.55361444652321,39.10722889304642
qcom,Information Technology,3,19.55361444652321,39.10722889304642
nxpi,Information Technology,2,19.55361444652321,39.10722889304642
mu,Information Technology,1,19.55361444652321,39.10722889304642
csco,Information Technology,7,19.55361444652321,39.10722889304642
intc,Information Technology,9,2.2319277673839615,39.10722889304642
ctva,Materials,1.5,100,100
well,Real Estate,2,100,100
so,Utilities,2,100,100
