TICKER,DATE,PRICE_TARGET,EVAL_LO,EVAL_HI,BUY_LO,BUY_HI,SOURCE,PX_LAST,BEST_TARGET_PRICE,EQY_DVD_YLD_IND,EQY_BETA,GICS_SECTOR_NAME,GICS_SECTOR_WEIGHT,PAM_UPSIDE,CONSENSUS_UPSIDE,PAM_UPSIDE_RANK,CONSENSUS_UPSIDE_RANK,DVD_YLD_RANK,BETA_RANK,GROWTH_SCORE,CONSERVATIVE_SCORE,GROWTH_RANK,CONSERVATIVE_RANK,TARGET_WEIGHT,CUM_WEIGHT,CUM_WEIGHT_ADJ,TARGET_WEIGHT_ADJ,MAX_WEIGHT
aapl,2020-04-21,279,249,300,250,280,FALSE,282.97,307.52105712890625,1.0884545795335387,1.0228649377822876,Information Technology,25.57072,0.9859702441954976,1.0867620494360046,10,7,8,5,8.100000000000001,7.6000000000000005,8,8,19.55361444652321,19.55361444652321,0,19.55361444652321,39.10722889304642
adsk,2020-04-21,162,162,195,NA,NA,FALSE,180.35,198.3000030517578,NA,0.9545502662658691,Information Technology,25.57072,0.8982533961741059,1.0995287111270187,12,6,10,9,9.100000000000001,9.4,12,12,19.55361444652321,39.10722889304642,0,19.55361444652321,39.10722889304642
intc,2020-04-21,65,54,65,55,60,FALSE,59.26,63.516666412353516,2.2274722451098334,0.9810599684715271,Information Technology,25.57072,1.0968612892338847,1.0718303478291178,8,10,4,8,8.4,6.800000000000001,9,6.5,19.55361444652321,58.660843339569624,0,19.55361444652321,39.10722889304642
msft,2020-04-21,190,164,190,165,180,FALSE,174.55,189.125,1.1687865027231739,0.9081486463546753,Information Technology,25.57072,1.0885133199656258,1.0835004296763104,9,8,7,10,8.5,8.200000000000001,10.5,10.5,19.55361444652321,78.21445778609284,0,19.55361444652321,39.10722889304642
qcom,2020-04-21,87,67,81,68,80,FALSE,76.04,90.95999908447266,3.4192528993063758,0.9878124594688416,Information Technology,25.57072,1.1441346659652813,1.196212507686384,4,4,2,7,4.1000000000000005,3.8,3,2,19.55361444652321,97.76807223261605,0,19.55361444652321,39.10722889304642
blk,2020-04-21,490,410,490,420,470,FALSE,475.14,515,3.055941503086179,1.1809616088867187,Financials,10.38778,1.03127499263375,1.0838910636864925,8,9,6,4,7.800000000000001,6.6000000000000005,8,7,48.133479915824175,48.133479915824175,0,48.133479915824175,96.26695983164835
jpm,2020-04-21,104,84,100,85,95,FALSE,90.71,105.96399688720703,3.968691329106569,1.1263759136199951,Financials,10.38778,1.1465108587807298,1.1681622410672146,7,6,4,7,6.300000000000002,5.6,6,5,48.133479915824175,96.26695983164835,0,48.133479915824175,96.26695983164835
bmy,2020-04-21,82,57,70,58,68,FALSE,62.25,70.384613037109375,2.891566188459894,0.8419974446296692,Health Care,15.85268,1.3172690763052208,1.1306765146523594,2,4,5,4,3.3000000000000003,4,2,2.5,31.540408309509814,31.540408309509814,0,31.540408309509814,63.08081661901963
gild,2020-04-21,90,75,85,NA,NA,FALSE,79.64,76.884613037109375,3.415369197149962,0.5782790184020996,Health Care,15.85268,1.1300853842290306,0.9654019718371343,5,9,3,9,6.8,5.800000000000001,8,7,31.540408309509814,63.08081661901963,0,31.540408309509814,63.08081661901963
ilmn,2020-04-21,290,300,330,NA,NA,FALSE,309.07,311.8125,NA,0.9519367814064026,Health Care,15.85268,0.9382987672695506,1.0088733943766783,9,8,7,3,7.800000000000001,6.800000000000001,9,9,31.540408309509814,94.62122492852944,0,31.540408309509814,63.08081661901963
