TICKER,GICS_SECTOR_NAME,GROWTH_RANK,CONSERVATIVE_RANK,TARGET_WEIGHT_ADJ,MAX_WEIGHT
dis,Communication Services,2,2,6.902526013761687,93.09747398623833
atvi,Communication Services,3,3,46.548736993119164,93.09747398623833
goog,Communication Services,4,4,46.548736993119164,93.09747398623833
baba,Consumer Discretionary,1,2.5,3.5890889843785416,96.41091101562147
sbux,Consumer Discretionary,3,2.5,48.20545550781073,96.41091101562147
amzn,Consumer Discretionary,4,4,48.20545550781073,96.41091101562147
pg,Consumer Staples,2,3,65.54285145748294,100
ths,Consumer Staples,3,6,34.45714854251706,100
cvx,Energy,4,4,100,100
jpm,Financials,6,5,48.133479915824175,96.26695983164835
all,Financials,7,6,3.733040168351657,96.26695983164835
blk,Financials,8,7,48.133479915824175,96.26695983164835
bmy,Health Care,2,2.5,31.540408309509814,63.08081661901963
jnj,Health Care,5,8,5.378775071470557,63.08081661901963
gild,Health Care,8,7,31.540408309509814,63.08081661901963
ilmn,Health Care,9,9,31.540408309509814,63.08081661901963
carr,Industrials,4,7.5,35.95505171821709,100
unp,Industrials,9,7.5,64.04494828178291,100
qcom,Information Technology,3,2,19.55361444652321,39.10722889304642
ibm,Information Technology,4,1,2.2319277673839615,39.10722889304642
aapl,Information Technology,8,8,19.55361444652321,39.10722889304642
intc,Information Technology,9,6.5,19.55361444652321,39.10722889304642
msft,Information Technology,10.5,10.5,19.55361444652321,39.10722889304642
adsk,Information Technology,12,12,19.55361444652321,39.10722889304642
fcx,Materials,1.5,2,100,100
well,Real Estate,2,1,100,100
so,Utilities,2,1,100,100
