TICKER,DATE,PRICE_TARGET,EVAL_LO,EVAL_HI,BUY_LO,BUY_HI,SOURCE,PX_LAST,BEST_TARGET_PRICE,EQY_DVD_YLD_IND,EQY_BETA,GICS_SECTOR_NAME,PAM_UPSIDE,CONSENSUS_UPSIDE,PAM_UPSIDE_RANK,CONSENSUS_UPSIDE_RANK,DVD_YLD_RANK,BETA_RANK,GROWTH_SCORE,CONSERVATIVE_SCORE,GROWTH_RANK,CONSERVATIVE_RANK
aapl,2020-04-21,279,249,300,250,280,FALSE,275.03,306.6102600097656,1.1200814327245816,1.023696780204773,Information Technology,1.0144347889321166,1.1148247827864801,10,7,8,5,8.100000000000001,7.6000000000000005,9,8
adsk,2020-04-21,162,162,195,NA,NA,FALSE,175.55,198.3000030517578,NA,0.9550490975379944,Information Technology,0.9228140131016803,1.1295927260140006,12,6,10,9,9.100000000000001,9.4,12,12
intc,2020-04-21,65,54,65,55,60,FALSE,59.04,63.97428512573242,2.2357724465651887,0.9804532527923584,Information Technology,1.1009485094850948,1.0835752900699935,9,10,4,8,8.8,7,11,6.5
msft,2020-04-21,190,164,190,165,180,FALSE,171.42,189.125,1.1900594807216356,0.9066072106361389,Information Technology,1.108388752770972,1.103284330883211,7,8,7,10,7.7,7.800000000000001,8,9.5
qcom,2020-04-21,87,67,81,68,80,FALSE,73.81,90.95999908447266,3.5225577897745137,0.9884218573570251,Information Technology,1.1787020728898523,1.2323533272520344,4,4,2,7,4.1000000000000005,3.8000000000000007,3,3
blk,2020-04-21,490,410,490,420,470,FALSE,471.2,515,3.081494154873445,1.1822881698608398,Financials,1.0398981324278438,1.0929541595925298,8,9,6,4,7.800000000000001,6.6000000000000005,8,7
jpm,2020-04-21,104,84,100,85,95,FALSE,89.39,106.00399780273437,4.030903487439893,1.123679280281067,Financials,1.1634411007942722,1.1858596912712203,7,6,4,7,6.300000000000002,5.600000000000001,7,5
bmy,2020-04-21,82,57,70,58,68,FALSE,60.95,70.384613037109375,2.954209670632339,0.8452942371368408,Health Care,1.3453650533223953,1.1547926667286197,2,4,5,4,3.3000000000000003,4,2,2
gild,2020-04-21,90,75,85,NA,NA,FALSE,77.78,76.76923370361328,3.473818682771685,0.5738425850868225,Health Care,1.1571097968629467,0.9870048046234672,5,9,3,9,6.8,5.8,8,7
ilmn,2020-04-21,290,300,330,NA,NA,FALSE,312.71,309.6470642089844,NA,0.9506902694702148,Health Care,0.9273768027885262,0.9902051875826945,9,8,7,3,7.800000000000001,6.800000000000001,9,9
