TICKER,DATE,PRICE_TARGET,EVAL_LO,EVAL_HI,BUY_LO,BUY_HI,SOURCE
cvx,2017-10-18,130,109,135,115,122,FALSE
pep,2018-07-17,117,105,129,NA,NA,FALSE
goog,2018-07-31,1214,1000,1225,1010,1100,FALSE
blk,2018-08-07,550,435,532,440,515,FALSE
jnj,2018-08-28,111,122,149,NA,NA,TRUE
msft,2018-09-05,94,100,120,NA,NA,FALSE
brk/b,2018-09-18,234,195,238,200,220,FALSE
dis,2018-10-02,149,105,128,106,127,FALSE
hd,2018-10-23,226,161,197,162,196,FALSE
schw,2018-10-23,63,40,50,41,49,FALSE
amzn,2018-10-30,2232,1450,1965,1455,1960,FALSE
t,2018-10-30,36,27,33,28,32,FALSE
ge,2018-11-06,10,7,12,NA,NA,TRUE
fcx,2018-11-13,18,9.5,14,10,12,FALSE
orcl,2018-11-13,55,45,55,NA,NA,TRUE
bp,2018-11-20,52,37,46,38,43,FALSE
duk,2018-11-20,91,83,92,NA,NA,FALSE
utx,2018-12-04,156,119,131,NA,NA,FALSE
v,2018-12-04,159,139,150,140,148,FALSE
crm,2018-12-04,155,134,147,135,146,FALSE
adsk,2018-12-04,160,145,155,NA,NA,FALSE
pfe,2018-12-04,44,42,48,NA,NA,FALSE
gild,2018-12-04,89,68,76,69,75,FALSE
pg,2018-12-04,98,82,100,83,90,FALSE
rtn,2018-12-11,226,163,180,165,173,FALSE
pnr,2018-12-11,47,37,45,NA,NA,FALSE
flr,2018-12-11,51,32,42,34,38,FALSE
nxpi,2018-12-11,140,70,81,72,80,FALSE
v,2018-12-11,159,129,141,130,140,FALSE
adsk,2018-12-11,160,124,140,125,135,FALSE
pacw,2018-12-11,58,30,39,31,38,FALSE
c,2018-12-11,80,49,61,50,60,FALSE
all,2018-12-11,113,77,87,78,86,FALSE
o,2018-12-11,63,57,70,NA,NA,FALSE
stz,2018-12-11,248,168,206,169,205,FALSE
gild,2018-12-18,89,61,71,62,70,FALSE
wfc,2018-12-18,63,43,51,44,50,FALSE
mu,2018-12-18,53,30,39,31,38,FALSE
aapl,2018-12-18,218,159,181,160,180,FALSE
cl,2018-12-18,70,58,70,59,64,FALSE
rig,2018-12-18,10.9,6.5,8.75,NA,NA,FALSE
emr,2018-12-18,74,57,67,58,61,FALSE
nvt,2018-12-18,29,20.5,26,21,23,FALSE
bac,2018-12-18,34,25,33,26,32,FALSE
utx,2019-01-08,146,104,120,105,110,FALSE
unp,2019-01-08,158,134,145,NA,NA,FALSE
rtn,2019-01-08,214,149,165,150,158,FALSE
etn,2019-01-08,86,65,71,NA,NA,FALSE
xom,2019-01-08,86,69,79,70,74,FALSE
dvn,2019-01-08,38.5,23,31,24,27,FALSE
bmy,2019-01-08,57,41,49,42,48,FALSE
aapl,2019-01-08,188,141,157,142,156,FALSE
cost,2019-01-08,223,200,229,201,210,FALSE
stz,2019-01-08,244,155,190,156,189,FALSE
ccl,2019-01-08,71,45,55,46,54,FALSE
crm,2019-01-15,157,134,150,135,146,FALSE
jpm,2019-01-15,120,94,111,95,110,FALSE
rtn,2019-01-23,214,158,170,160,167,FALSE
etn,2019-01-23,84,66,75,NA,NA,FALSE
cat,2019-01-23,177,126,138,128,134,FALSE
rig,2019-01-23,10.9,7.5,9.5,NA,NA,FALSE
pacw,2019-01-23,48,35,43,36,42,FALSE
c,2019-01-23,80,57,69,58,68,FALSE
bmy,2019-01-23,57,44,52,45,51,FALSE
crm,2019-01-23,157,145,157,NA,NA,FALSE
adsk,2019-01-23,159,134,147,135,146,FALSE
unp,2019-01-29,168,150,168,NA,NA,FALSE
pfe,2019-01-29,46,37,42,NA,NA,FALSE
ilmn,2019-01-29,320,274,299,275,300,FALSE
nxpi,2019-01-29,128,80,90,NA,NA,FALSE
ibm,2019-01-29,152,115,130,NA,NA,TRUE
aapl,2019-01-29,189,149,161,150,160,FALSE
ccl,2019-01-29,71,50,60,51,59,FALSE
etn,2019-02-05,84,68,84,70,74,FALSE
pfe,2019-02-05,43,37,45,NA,NA,FALSE
all,2019-02-05,113,83,95,85,90,FALSE
qcom,2019-02-05,60,45,55,NA,NA,FALSE
mu,2019-02-05,53,36,44,37,43,FALSE
ibm,2019-02-05,152,125,140,NA,NA,TRUE
adsk,2019-02-05,159,145,158,NA,NA,FALSE
aapl,2019-02-05,183,164,180,165,178,FALSE
baba,2019-02-05,197,150,183,155,172,FALSE
utx,2019-02-12,146,115,130,118,125,FALSE
rtn,2019-02-12,217,170,190,175,182,FALSE
nycb,2019-02-12,10.2,11,13,NA,NA,TRUE
well,2019-02-12,75,69,80,70,75,FALSE
o,2019-02-12,63,65,75,NA,NA,FALSE
deo,2019-02-12,142,145,165,NA,NA,TRUE
unp,2019-02-20,175,160,180,NA,NA,FALSE
emr,2019-02-20,78.5,64,75,65,70,FALSE
v,2019-02-20,160,135,155,140,150,FALSE
crm,2019-02-20,157,150,170,NA,NA,FALSE
nxpi,2019-02-20,120,86,98,87,97,FALSE
intc,2019-02-20,64,47,56,48,55,FALSE
adsk,2019-02-20,158,150,170,NA,NA,FALSE
sbux,2019-02-20,65,63,75,NA,NA,FALSE
ilmn,2019-02-26,320,280,320,290,310,FALSE
pg,2019-02-26,102,90,110,NA,NA,FALSE
xom,2019-03-05,89,73,88,76,81,FALSE
xyl,2019-03-05,80,72,83,NA,NA,FALSE
mrk,2019-03-05,94,76,86,77,85,FALSE
ilmn,2019-03-05,320,290,320,295,315,FALSE
bmy,2019-03-05,61,49,56,50,55,FALSE
all,2019-03-05,113,89,101,90,100,FALSE
csco,2019-03-05,53,48,55,NA,NA,FALSE
baba,2019-03-05,198,168,206,NA,NA,FALSE
oxy,2019-03-11,79,60,72,61,67,FALSE
ba,2019-03-13,450,349,401,350,400,FALSE
