Model Name,Symbol,Symbol Weight,Symbol Rank,Legacy Position Flag
COMMUNICATION SERVICES - Conservative,ATVI,0.45,1000,No
COMMUNICATION SERVICES - Conservative,T,0.45,750,No
COMMUNICATION SERVICES - Conservative,DIS,0.0999999999999999,500,No
COMMUNICATION SERVICES - Conservative,GOOG,0,250,No
COMMUNICATION SERVICES - Conservative,CMCSA,0,0,Yes
COMMUNICATION SERVICES - Conservative,FB,0,0,Yes
COMMUNICATION SERVICES - Conservative,VZ,0,0,Yes
COMMUNICATION SERVICES - Conservative,NFLX,0,0,Yes
COMMUNICATION SERVICES - Conservative,TCEHY,0,0,Yes
COMMUNICATION SERVICES - Conservative,NYT,0,0,Yes
COMMUNICATION SERVICES - Conservative,CHTR,0,0,Yes
COMMUNICATION SERVICES - Conservative,PINS,0,0,Yes
COMMUNICATION SERVICES - Conservative,SNAP,0,0,Yes
COMMUNICATION SERVICES - Conservative,VIAC,0,0,Yes
COMMUNICATION SERVICES - Conservative,BILI,0,0,Yes
COMMUNICATION SERVICES - Conservative,ZNGA,0,0,Yes
COMMUNICATION SERVICES - Conservative,AMX,0,0,Yes
COMMUNICATION SERVICES - Conservative,LUMN,0,0,Yes
COMMUNICATION SERVICES - Conservative,EA,0,0,Yes
COMMUNICATION SERVICES - Conservative,TWTR,0,0,Yes
COMMUNICATION SERVICES - Conservative,AMC,0,0,Yes
COMMUNICATION SERVICES - Conservative,IQ,0,0,Yes
COMMUNICATION SERVICES - Conservative,RBLX,0,0,Yes
COMMUNICATION SERVICES - Conservative,VOD,0,0,Yes
COMMUNICATION SERVICES - Conservative,IPG,0,0,Yes
COMMUNICATION SERVICES - Conservative,SIRI,0,0,Yes
COMMUNICATION SERVICES - Conservative,TTWO,0,0,Yes
COMMUNICATION SERVICES - Conservative,NTDOY,0,0,Yes
COMMUNICATION SERVICES - Conservative,OMC,0,0,Yes
COMMUNICATION SERVICES - Conservative,CHL,0,0,Yes
COMMUNICATION SERVICES - Conservative,SPOT,0,0,Yes
COMMUNICATION SERVICES - Conservative,IAC,0,0,Yes
COMMUNICATION SERVICES - Conservative,MTCH,0,0,Yes
COMMUNICATION SERVICES - Conservative,MSGE,0,0,Yes
COMMUNICATION SERVICES - Conservative,MSGS,0,0,Yes
COMMUNICATION SERVICES - Conservative,AMCX,0,0,Yes
COMMUNICATION SERVICES - Conservative,FOXA,0,0,Yes
COMMUNICATION SERVICES - Conservative,VIACA,0,0,Yes
COMMUNICATION SERVICES - Conservative,DISCA,0,0,Yes
COMMUNICATION SERVICES - Conservative,TMUS,0,0,Yes
COMMUNICATION SERVICES - Conservative,TDS,0,0,Yes
COMMUNICATION SERVICES - Growth,ATVI,0.45,1000,No
COMMUNICATION SERVICES - Growth,GOOG,0.45,750,No
COMMUNICATION SERVICES - Growth,T,0.0999999999999999,500,No
COMMUNICATION SERVICES - Growth,DIS,0,250,No
COMMUNICATION SERVICES - Growth,CMCSA,0,0,Yes
COMMUNICATION SERVICES - Growth,FB,0,0,Yes
COMMUNICATION SERVICES - Growth,VZ,0,0,Yes
COMMUNICATION SERVICES - Growth,NFLX,0,0,Yes
COMMUNICATION SERVICES - Growth,TCEHY,0,0,Yes
COMMUNICATION SERVICES - Growth,NYT,0,0,Yes
COMMUNICATION SERVICES - Growth,CHTR,0,0,Yes
COMMUNICATION SERVICES - Growth,PINS,0,0,Yes
COMMUNICATION SERVICES - Growth,SNAP,0,0,Yes
COMMUNICATION SERVICES - Growth,VIAC,0,0,Yes
COMMUNICATION SERVICES - Growth,BILI,0,0,Yes
COMMUNICATION SERVICES - Growth,ZNGA,0,0,Yes
COMMUNICATION SERVICES - Growth,AMX,0,0,Yes
COMMUNICATION SERVICES - Growth,LUMN,0,0,Yes
COMMUNICATION SERVICES - Growth,EA,0,0,Yes
COMMUNICATION SERVICES - Growth,TWTR,0,0,Yes
COMMUNICATION SERVICES - Growth,AMC,0,0,Yes
COMMUNICATION SERVICES - Growth,IQ,0,0,Yes
COMMUNICATION SERVICES - Growth,RBLX,0,0,Yes
COMMUNICATION SERVICES - Growth,VOD,0,0,Yes
COMMUNICATION SERVICES - Growth,IPG,0,0,Yes
COMMUNICATION SERVICES - Growth,SIRI,0,0,Yes
COMMUNICATION SERVICES - Growth,TTWO,0,0,Yes
COMMUNICATION SERVICES - Growth,NTDOY,0,0,Yes
COMMUNICATION SERVICES - Growth,OMC,0,0,Yes
COMMUNICATION SERVICES - Growth,CHL,0,0,Yes
COMMUNICATION SERVICES - Growth,SPOT,0,0,Yes
COMMUNICATION SERVICES - Growth,IAC,0,0,Yes
COMMUNICATION SERVICES - Growth,MTCH,0,0,Yes
COMMUNICATION SERVICES - Growth,MSGE,0,0,Yes
COMMUNICATION SERVICES - Growth,MSGS,0,0,Yes
COMMUNICATION SERVICES - Growth,AMCX,0,0,Yes
COMMUNICATION SERVICES - Growth,FOXA,0,0,Yes
COMMUNICATION SERVICES - Growth,VIACA,0,0,Yes
COMMUNICATION SERVICES - Growth,DISCA,0,0,Yes
COMMUNICATION SERVICES - Growth,TMUS,0,0,Yes
COMMUNICATION SERVICES - Growth,TDS,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,HD,0.41000000000000003,1000,No
CONSUMER DISCRETIONARY - Conservative,DHI,0.41000000000000003,833,No
CONSUMER DISCRETIONARY - Conservative,BABA,0.18,667,No
CONSUMER DISCRETIONARY - Conservative,SBUX,0,500,No
CONSUMER DISCRETIONARY - Conservative,AMZN,0,333,No
CONSUMER DISCRETIONARY - Conservative,ABNB,0,167,No
CONSUMER DISCRETIONARY - Conservative,MCD,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,TSLA,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,TGT,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,DKNG,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,GM,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,NKE,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,ROKU,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,BWA,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,JWN,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,UA,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,WSM,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,QS,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,UAA,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,URBN,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,CCL,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,F,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,GRWG,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,JMIA,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,CMG,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,SHAK,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,EBAY,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,PTON,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,CPNG,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,LKNCY,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,FVRR,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,LULU,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,STLA,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,WYNN,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,NIO,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,LOW,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,BLMN,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,RCL,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,GME,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,RACE,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,JD,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,GPS,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,FUN,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,XPEV,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,YUM,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,YUMC,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,MAR,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,QSR,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,WEN,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,BLD,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,SNE,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,LEN,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,LEG,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,VFC,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,DPZ,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,CHWY,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,PRTS,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,PHM,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,LEA,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,TJX,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,ETSY,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,ORLY,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,GTXMQ,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,HBI,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,TM,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,KIRK,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,ULTA,0,0,Yes
CONSUMER DISCRETIONARY - Conservative,DG,0,0,Yes
CONSUMER DISCRETIONARY - Growth,BABA,0.41000000000000003,1000,No
CONSUMER DISCRETIONARY - Growth,AMZN,0.41000000000000003,833,No
CONSUMER DISCRETIONARY - Growth,DHI,0.18,667,No
CONSUMER DISCRETIONARY - Growth,HD,0,500,No
CONSUMER DISCRETIONARY - Growth,SBUX,0,333,No
CONSUMER DISCRETIONARY - Growth,ABNB,0,167,No
CONSUMER DISCRETIONARY - Growth,MCD,0,0,Yes
CONSUMER DISCRETIONARY - Growth,TSLA,0,0,Yes
CONSUMER DISCRETIONARY - Growth,TGT,0,0,Yes
CONSUMER DISCRETIONARY - Growth,DKNG,0,0,Yes
CONSUMER DISCRETIONARY - Growth,GM,0,0,Yes
CONSUMER DISCRETIONARY - Growth,NKE,0,0,Yes
CONSUMER DISCRETIONARY - Growth,ROKU,0,0,Yes
CONSUMER DISCRETIONARY - Growth,BWA,0,0,Yes
CONSUMER DISCRETIONARY - Growth,JWN,0,0,Yes
CONSUMER DISCRETIONARY - Growth,UA,0,0,Yes
CONSUMER DISCRETIONARY - Growth,WSM,0,0,Yes
CONSUMER DISCRETIONARY - Growth,QS,0,0,Yes
CONSUMER DISCRETIONARY - Growth,UAA,0,0,Yes
CONSUMER DISCRETIONARY - Growth,URBN,0,0,Yes
CONSUMER DISCRETIONARY - Growth,CCL,0,0,Yes
CONSUMER DISCRETIONARY - Growth,F,0,0,Yes
CONSUMER DISCRETIONARY - Growth,GRWG,0,0,Yes
CONSUMER DISCRETIONARY - Growth,JMIA,0,0,Yes
CONSUMER DISCRETIONARY - Growth,CMG,0,0,Yes
CONSUMER DISCRETIONARY - Growth,SHAK,0,0,Yes
CONSUMER DISCRETIONARY - Growth,EBAY,0,0,Yes
CONSUMER DISCRETIONARY - Growth,PTON,0,0,Yes
CONSUMER DISCRETIONARY - Growth,CPNG,0,0,Yes
CONSUMER DISCRETIONARY - Growth,LKNCY,0,0,Yes
CONSUMER DISCRETIONARY - Growth,FVRR,0,0,Yes
CONSUMER DISCRETIONARY - Growth,LULU,0,0,Yes
CONSUMER DISCRETIONARY - Growth,STLA,0,0,Yes
CONSUMER DISCRETIONARY - Growth,WYNN,0,0,Yes
CONSUMER DISCRETIONARY - Growth,NIO,0,0,Yes
CONSUMER DISCRETIONARY - Growth,LOW,0,0,Yes
CONSUMER DISCRETIONARY - Growth,BLMN,0,0,Yes
CONSUMER DISCRETIONARY - Growth,RCL,0,0,Yes
CONSUMER DISCRETIONARY - Growth,GME,0,0,Yes
CONSUMER DISCRETIONARY - Growth,RACE,0,0,Yes
CONSUMER DISCRETIONARY - Growth,JD,0,0,Yes
CONSUMER DISCRETIONARY - Growth,GPS,0,0,Yes
CONSUMER DISCRETIONARY - Growth,FUN,0,0,Yes
CONSUMER DISCRETIONARY - Growth,XPEV,0,0,Yes
CONSUMER DISCRETIONARY - Growth,YUM,0,0,Yes
CONSUMER DISCRETIONARY - Growth,YUMC,0,0,Yes
CONSUMER DISCRETIONARY - Growth,MAR,0,0,Yes
CONSUMER DISCRETIONARY - Growth,QSR,0,0,Yes
CONSUMER DISCRETIONARY - Growth,WEN,0,0,Yes
CONSUMER DISCRETIONARY - Growth,BLD,0,0,Yes
CONSUMER DISCRETIONARY - Growth,SNE,0,0,Yes
CONSUMER DISCRETIONARY - Growth,LEN,0,0,Yes
CONSUMER DISCRETIONARY - Growth,LEG,0,0,Yes
