Model Name,Symbol,Symbol Weight,Symbol Rank,Legacy Position Flag
COMMUNICATION SERVICES - Growth,ATVI,0.45,1000,No
COMMUNICATION SERVICES - Growth,GOOG,0.45,750,No
COMMUNICATION SERVICES - Growth,T,0.09999999999999992,500,No
COMMUNICATION SERVICES - Growth,DIS,0,250,No
CONSUMER DISCRETIONARY - Growth,AMZN,0.44,1000,No
CONSUMER DISCRETIONARY - Growth,BABA,0.44,750,No
CONSUMER DISCRETIONARY - Growth,HD,0.11999999999999994,500,No
CONSUMER DISCRETIONARY - Growth,SBUX,0,250,No
CONSUMER STAPLES - Growth,THS,0.71,1000,No
CONSUMER STAPLES - Growth,STZ,0.29000000000000004,857,No
CONSUMER STAPLES - Growth,PEP,0,714,No
CONSUMER STAPLES - Growth,PG,0,429,No
CONSUMER STAPLES - Growth,CL,0,286,No
CONSUMER STAPLES - Growth,COST,0,143,No
CONSUMER STAPLES - Growth,DEO,0,0,No
ENERGY - Growth,DVN,1,1000,No
ENERGY - Growth,BP,0,800,No
ENERGY - Growth,KMI,0,600,No
ENERGY - Growth,CVX,0,400,No
ENERGY - Growth,XOM,0,0,No
FINANCIALS - Growth,C,0.5,1000,No
FINANCIALS - Growth,PACW,0.5,889,No
FINANCIALS - Growth,WFC,0,778,No
FINANCIALS - Growth,ALL,0,667,No
FINANCIALS - Growth,BAC,0,556,No
FINANCIALS - Growth,JPM,0,444,No
FINANCIALS - Growth,BLK,0,333,No
FINANCIALS - Growth,SCHW,0,222,No
FINANCIALS - Growth,BRKB,0,111,No
HEALTH CARE - Growth,HRTX,0.36,1000,No
HEALTH CARE - Growth,NKTR,0.36,889,No
HEALTH CARE - Growth,BMY,0.2799999999999999,778,No
HEALTH CARE - Growth,GILD,0,667,No
HEALTH CARE - Growth,MRK,0,556,No
HEALTH CARE - Growth,NVS,0,444,No
HEALTH CARE - Growth,PFE,0,333,No
HEALTH CARE - Growth,JNJ,0,222,No
HEALTH CARE - Growth,ILMN,0,0,No
INDUSTRIALS - Growth,RTX,0.61,1000,No
INDUSTRIALS - Growth,GE,0.39,900,No
INDUSTRIALS - Growth,UBER,0,800,No
INDUSTRIALS - Growth,EMR,0,600,No
INDUSTRIALS - Growth,ETN,0,500,No
INDUSTRIALS - Growth,UNP,0,400,No
INDUSTRIALS - Growth,CAT,0,300,No
INDUSTRIALS - Growth,CARR,0,100,No
INDUSTRIALS - Growth,BA,0,0,No
INDUSTRIALS - Growth,XYL,0,0,No
INFORMATION TECHNOLOGY - Growth,MU,0.18,1000,No
INFORMATION TECHNOLOGY - Growth,CSCO,0.18,917,No
INFORMATION TECHNOLOGY - Growth,AAPL,0.18,667,No
INFORMATION TECHNOLOGY - Growth,ADSK,0.18,583,No
INFORMATION TECHNOLOGY - Growth,V,0.18,500,No
INFORMATION TECHNOLOGY - Growth,CRM,0.09999999999999992,417,No
INFORMATION TECHNOLOGY - Growth,NXPI,0,333,No
INFORMATION TECHNOLOGY - Growth,MSFT,0,250,No
INFORMATION TECHNOLOGY - Growth,ORCL,0,167,No
INFORMATION TECHNOLOGY - Growth,QCOM,0,83,No
INFORMATION TECHNOLOGY - Growth,INTC,0,0,No
INFORMATION TECHNOLOGY - Growth,IBM,0,0,No
MATERIALS - Growth,CTVA,1,1000,No
MATERIALS - Growth,FCX,0,500,No
REAL ESTATE - Growth,O,1,1000,No
REAL ESTATE - Growth,WELL,0,500,No
UTILITIES - Growth,DUK,1,1000,No
UTILITIES - Growth,SO,0,500,No
COMMUNICATION SERVICES - Conservative,ATVI,0.45,1000,No
COMMUNICATION SERVICES - Conservative,T,0.45,750,No
COMMUNICATION SERVICES - Conservative,GOOG,0.09999999999999992,500,No
COMMUNICATION SERVICES - Conservative,DIS,0,250,No
CONSUMER DISCRETIONARY - Conservative,HD,0.44,1000,No
CONSUMER DISCRETIONARY - Conservative,AMZN,0.44,750,No
CONSUMER DISCRETIONARY - Conservative,SBUX,0.11999999999999994,500,No
CONSUMER DISCRETIONARY - Conservative,BABA,0,250,No
CONSUMER STAPLES - Conservative,PEP,0.71,857,No
CONSUMER STAPLES - Conservative,STZ,0.29000000000000004,714,No
CONSUMER STAPLES - Conservative,CL,0,571,No
CONSUMER STAPLES - Conservative,PG,0,429,No
CONSUMER STAPLES - Conservative,THS,0,286,No
CONSUMER STAPLES - Conservative,COST,0,143,No
CONSUMER STAPLES - Conservative,DEO,0,0,No
ENERGY - Conservative,DVN,1,1000,No
ENERGY - Conservative,KMI,0,800,No
ENERGY - Conservative,BP,0,600,No
ENERGY - Conservative,CVX,0,200,No
ENERGY - Conservative,XOM,0,0,No
FINANCIALS - Conservative,C,0.5,1000,No
FINANCIALS - Conservative,PACW,0.5,889,No
FINANCIALS - Conservative,BAC,0,778,No
FINANCIALS - Conservative,WFC,0,667,No
FINANCIALS - Conservative,JPM,0,556,No
FINANCIALS - Conservative,ALL,0,444,No
FINANCIALS - Conservative,BLK,0,333,No
FINANCIALS - Conservative,SCHW,0,222,No
FINANCIALS - Conservative,BRKB,0,111,No
HEALTH CARE - Conservative,GILD,0.36,1000,No
HEALTH CARE - Conservative,BMY,0.36,889,No
HEALTH CARE - Conservative,NKTR,0.2799999999999999,778,No
HEALTH CARE - Conservative,HRTX,0,667,No
HEALTH CARE - Conservative,PFE,0,556,No
HEALTH CARE - Conservative,NVS,0,444,No
HEALTH CARE - Conservative,MRK,0,333,No
HEALTH CARE - Conservative,JNJ,0,222,No
HEALTH CARE - Conservative,ILMN,0,0,No
INDUSTRIALS - Conservative,RTX,0.61,1000,No
INDUSTRIALS - Conservative,ETN,0.39,900,No
INDUSTRIALS - Conservative,EMR,0,800,No
INDUSTRIALS - Conservative,GE,0,700,No
INDUSTRIALS - Conservative,UNP,0,600,No
INDUSTRIALS - Conservative,CAT,0,400,No
INDUSTRIALS - Conservative,UBER,0,300,No
INDUSTRIALS - Conservative,CARR,0,100,No
INDUSTRIALS - Conservative,BA,0,0,No
INDUSTRIALS - Conservative,XYL,0,0,No
INFORMATION TECHNOLOGY - Conservative,CSCO,0.18,917,No
INFORMATION TECHNOLOGY - Conservative,MU,0.18,750,No
INFORMATION TECHNOLOGY - Conservative,NXPI,0.18,667,No
INFORMATION TECHNOLOGY - Conservative,QCOM,0.18,583,No
INFORMATION TECHNOLOGY - Conservative,AAPL,0.18,500,No
INFORMATION TECHNOLOGY - Conservative,V,0.09999999999999992,417,No
INFORMATION TECHNOLOGY - Conservative,CRM,0,333,No
INFORMATION TECHNOLOGY - Conservative,ORCL,0,250,No
INFORMATION TECHNOLOGY - Conservative,MSFT,0,167,No
INFORMATION TECHNOLOGY - Conservative,ADSK,0,83,No
INFORMATION TECHNOLOGY - Conservative,INTC,0,0,No
INFORMATION TECHNOLOGY - Conservative,IBM,0,0,No
MATERIALS - Conservative,CTVA,1,1000,No
MATERIALS - Conservative,FCX,0,500,No
REAL ESTATE - Conservative,O,1,1000,No
REAL ESTATE - Conservative,WELL,0,500,No
UTILITIES - Conservative,SO,1,1000,No
UTILITIES - Conservative,DUK,0,500,No
